DUVELA EXAM · TELC DEUTSCH A2 · ELEVENLABS AUDIO SCRIPTS
Format: relative MP3 path | German transcript

mt1/a2m1-h1-1.mp3 | Guten Tag, hier ist die Praxis Dr. König. Ihr Termin am Mittwoch muss leider ausfallen. Wir können Ihnen stattdessen Donnerstag um sechzehn Uhr dreißig anbieten. Bitte rufen Sie kurz zurück.
mt1/a2m1-h1-2.mp3 | Hallo Frau Aydin, Ihr Fahrrad ist fertig. Die Reparatur kostet achtundvierzig Euro. Sie können es heute bis achtzehn Uhr oder morgen ab neun Uhr abholen.
mt1/a2m1-h1-3.mp3 | Hi Lukas, wir treffen uns nicht vor dem Kino, sondern direkt im Café gegenüber. Ich bin gegen Viertel nach sieben da.
mt1/a2m1-h1-4.mp3 | Guten Morgen, der Computerkurs beginnt erst nächste Woche. Der erste Termin ist am zwölften September in Raum zweihundertvier.
mt1/a2m1-h1-5.mp3 | Hier ist der Paketdienst. Wir konnten Sie nicht erreichen. Ihr Paket liegt ab morgen in der Postfiliale am Markt und bleibt dort sieben Tage.
mt1/a2m1-h2-1.mp3 | Und nun zum Wetter: Am Vormittag bleibt es trocken. Ab vierzehn Uhr gibt es starke Regenschauer, am Abend wird es wieder freundlicher.
mt1/a2m1-h2-2.mp3 | Wegen einer technischen Störung fährt die U-Bahn-Linie drei heute nur bis Rathaus. Fahrgäste zum Hauptbahnhof nehmen bitte den Bus Nummer acht.
mt1/a2m1-h2-3.mp3 | In unserer Mittagssendung sprechen wir heute über gesundes Essen im Büro. Danach können Hörerinnen und Hörer anrufen und Fragen stellen.
mt1/a2m1-h2-4.mp3 | Das Stadtmuseum lädt am Sonntag zum Familientag ein. Kinder bis zwölf Jahre zahlen keinen Eintritt. Erwachsene zahlen sechs Euro.
mt1/a2m1-h2-5.mp3 | Achtung Autofahrer: Auf der A fünf zwischen Nordkreuz und Flughafen gibt es nach einem Unfall zehn Kilometer Stau. Bitte fahren Sie über die Bundesstraße.
mt1/a2m1-h3-1.mp3 | Mara: Für das Sommerfest brauchen wir noch Hilfe. Jonas, kannst du die Getränke kaufen? Jonas: Ja, das mache ich nach der Arbeit.
mt1/a2m1-h3-2.mp3 | Mara: Lea, kümmerst du dich um die Musik? Lea: Gern, ich bringe meine Lautsprecher und eine Playlist mit.
mt1/a2m1-h3-3.mp3 | Mara: Ben, wir brauchen noch sechs Tische. Ben: Ich frage den Nachbarn, er kann sie mit seinem Wagen bringen.
mt1/a2m1-h3-4.mp3 | Mara: Sofia, könntest du zwei Salate machen? Sofia: Natürlich, einen Kartoffelsalat und einen grünen Salat.
mt1/a2m1-h3-5.mp3 | Mara: Und wer fotografiert? Amir: Ich nehme meine Kamera mit und schicke später allen die Bilder.
mt2/a2m2-h1-1.mp3 | Hallo Frau Berger, der Hausmeister kommt morgen zwischen zehn und zwölf Uhr wegen Ihrer Heizung. Bitte stellen Sie sicher, dass jemand zu Hause ist.
mt2/a2m2-h1-2.mp3 | Guten Tag, Sie interessieren sich für die Wohnung in der Gartenstraße. Die Besichtigung ist am Freitag um siebzehn Uhr. Treffen ist vor Haus Nummer neun.
mt2/a2m2-h1-3.mp3 | Hallo David, ich leihe dir gern meine Bohrmaschine. Hol sie bitte heute Abend bei mir im dritten Stock ab.
mt2/a2m2-h1-4.mp3 | Hier ist Möbelhaus Kern. Ihr Schrank wird nicht am Montag, sondern am Dienstagvormittag geliefert. Die Montage dauert ungefähr eine Stunde.
mt2/a2m2-h1-5.mp3 | Liebe Mieter, wegen Arbeiten am Wasserrohr gibt es am Donnerstag von acht bis elf Uhr kein warmes Wasser.
mt2/a2m2-h2-1.mp3 | Die Stadt eröffnet heute einen neuen Wertstoffhof im Norden. Geöffnet ist montags bis samstags von acht bis siebzehn Uhr.
mt2/a2m2-h2-2.mp3 | Wegen des Straßenfests dürfen Autos morgen nicht in der Rosenstraße parken. Bitte nutzen Sie das Parkhaus am Bahnhof.
